Name,Word_1,Word_1_Obj,Word_2,Word_2_Obj,Word_3,Word_3_Obj,Aggs,Agg_Obj,Filter,Filter_Obj,Response_Type_1,Response_Type_2,Response_3,IDs
Display Segments,audience,DOBJ,by,PREP,,,,POBJ,,,cake-chart,,,
Display Nested Segments,audience,DOBJ,by,PREP,and,CC,,POBJ,,,cake-chart,,,
Vested Comparison,be,ROOT,more,AMOD,or,CC,,,,,bar-chart,Answer,,
Temporal Trends,be,AUX,improve,ROOT,,,,,,,line-chart,,,
Temporal Trends,be,ROOT,improve,POBJ,,,,,,,line-chart,,,
Relation,do,AUX,affect,ROOT,,,,,,,bar-chart,,,
Relative Count,how,ADVMOD,many,NSUBJPASS,of,PREP,,,,,Answer,pie-chart,bar-chart,
Count,how,ADVMOD,many,AMOD,,,,,,,Answer,bar-chart,,
Ambig Question,how,ADVMOD,be,AUX,in,PREP,,,,POBJ,,,,2
Ambig Question,how,ADVMOD,be,ROOT,in,PREP,,,,POBJ,,,,
Ambig Question,how,ADVMOD,be,ROOT,my,POSS,,,,,,,,
Comparison,how,ADVMOD,do,AUX,compare,ROOT,,NSUBJ,,,line-chart,bar-chart,scatterplot,
Comparison,how,ADVMOD,do,AUX,differ,ROOT,,POBJ,,,bar-chart,line-chart,,
Comparison,how,ADVMOD,do,AUX,breakdown,ROOT,,POBJ,,,bar-chart,Answer,,
Intraday Variance,how,ADVMOD,vary,ROOT,day,POBJ,hour,,last-week,,line-chart,,,
Intraweek Variance,how,ADVMOD,vary,ROOT,week,POBJ,day,,last-month,,line-chart,heatmap,,
Relative Time,how,ADVMOD,many,AMOD,minute,NSUBJ,minutes,,,,bar-chart,Answer,,
Volume,how,ADVMOD,much,ADVMOD,,,,,,,Answer,pie-chart,,
Average Length,how,ADVMOD,long,ADVMOD,average,POBJ,time,,,,Answer,bar-chart,,
Relative Time,how,ADVMOD,many,AMOD,day,DEP,day,,,,bar-chart,Answer,,
Filtered Comparison,on,PREP,be,ROOT,or,CC,,,,,bar-chart,,,
List Users,provide,ROOT,list,,,,,,,,Table,,,
Filtered Display,show,ROOT,for,PREP,,,,POBJ,,AMOD,bar-chart,line-chart,Answer,
Filtered Display,show,ROOT,on,PREP,,,,POBJ,,VMOD,Answer,bar-chart,,
Filtered Display,show,ROOT,from,PREP,,,,POBJ,,AMOD,Table,,,1
Show... For...,show,ROOT,for,PREP,,,,,,POBJ,line-chart,table,,
Aggregated Display,view,ROOT,on,PREP,,,,,,,bar-chart,pie-chart,cake-chart,
Direct,what,ATTR,,,,,,,,,,,,
Week Rythym,what,DET,day,ATTR,week,POBJ,day,,,,heatmap,Answer,,
Week Rythym,what,DET,day,DEP,week,POBJ,day,,,,line-chart,Answer,heatmap,
Month,what,DET,month,DOBJ,,,month,,,,bar-chart,heatmap,,
Time of Day,what,DET,time,DEP,day,POBJ,hour,,,,heatmap,line-chart,,
User Percentage,what,DET,percentage,NSUBJ,user,POBJ,,,,,Answer,bar-chart,,
User Percentage,what,DET,percent,NSUBJ,user,POBJ,,,,,pie-chart,Answer,,
Traffic Percentage,what,DET,percent,NSUBJ,traffic,POBJ,,DOBJ,,,bar-chart,Answer,,
Traffic Percentage,what,DET,percent,NSUBJ,traffic,POBJ,,DOBJ,,,bar-chart,Answer,,
Time of Day,what ,DET,hour,NSUBJ,day,POBJ,hour,,,,line-chart,,,
Time of Day,when,ADVMOD,during,PREP,day,,"hour, day",,,,heatmap,line-chart,,
Visit Rythym,when,ADVMOD,visit,ROOT,,,"hour, day",,,,heatmap,bar-chart,Answer,
Ambig When,when,ADVMOD,be,ROOT,,,"hour, day",,,,heatmap,Answer,,
Location Base,where,ADVMOD,be,ROOT,,,geography,,,,map,bar-chart,,3
Agg Comparison,which,DET,,,,,,NSUBJ,,,bar-chart,Answer,,
Parse Similarity,what,DOBJ,common,POBJ,,,,,,,Answer,,,
Metric Ask,what,NSUBJ,be,ROOT,,,,,,,,,,
Who,who,NSUBJ,be,ROOT,,,,,,,Answer,,,
Term Performance,what,ATTR,term,NSUBJ,,,term,,,,bar-chart,answer,,
Best Comparison,be,ROOT,high,ADVMOD,or,stac,geography,,,,,,,
Filtered Average,what,ATTR,average,AMOD,,,,,,,Answer,bar-chart,,
Browser Usage,what,DET,browser,DOBJ,,,browser,,,,Answer,cake-chart,,
Device,what,DET,device,NSUBJ,,,device,,,,Answer,cake-chart,,
Show... Affect...,show,ROOT,how,ADVMOD,affect,CCOMP,,,,,stacked-bar,,,
Traffic Drivers,what,DET,drive,ROOT,,,,,,,pie-chart,,,
