Subject,Word_1,Word_2,Word_3,SType,Category,Metric
Adblocker conversion,adblock,conversion,-,adblock,Conversion,
Adblocker conversion,adblock,convert,-,adblock,Conversion,
Adblock Rate,adblock,rate,-,adblock,Audience,
Adblocker conversion,adblocker,convert,-,adblock,Conversion,
Adblocker conversion,adblocker,conversion,-,adblock,Conversion,Conversion
Adblocker,adblocker,-,-,adblock,Audience,
Adblock Rate,adblock,enabled,-,adblock,Audience,
Bounce rate,bounce,rate,-,bounce rate,Audience,
Cancellations,cancellations,-,-,cancellations,Loyalty,
Cancelled subscriptions,cancelled,subscriptions,-,cancelled subscriptions,Loyalty,
Checkout-flow-completion,checkout,flow,completion,checkout flow completion,Conversion,
Churn,churn,-,-,churn,Loyalty,
Churn Rate,churn,rate,-,churn-rate,Loyalty,
click-through-rate,click,through,rate,conversion,Conversion,
Conversion,conversion,-,-,conversion,Conversion,
Conversion Rate,conversion,rate,-,conversion,Conversion,
Conversions,conversions,-,-,conversion,Conversion,
Direct and Dedicated,direct,and,dedicated,segment,Audience,
Disable Adblock,disable,adblock,-,adblock,Conversion,
Disable Adblocker,disable,adblocker,-,adblock,Conversion,
Exposures,exposures,-,-,exposure,Conversion,
Conversion Likelihood,likely,to,convert,conversion likelihood,Conversion,
Mobile Pageviews,mobile,pageviews,-,pageviews,Audience,
New Subscribers,new,subscribers,-,subscription,Conversion,
New Subscriptions,new,subscriptions,-,subscription,Conversion,
Newsletter,newsletter,-,-,registration,Conversion,
Non-Converters,non,converters,-,conversion,Audience,
Pageviews,pageviews,-,-,pageviews,Behavior,
Payment,payment,-,-,payment,Revenue,
Payment Method,payment,method,-,payment,Revenue,
Paywall Meter,paywall,meter,-,paywall,Conversion,
Paywall,paywall,-,-,conversion,Conversion,
People,people,-,-,users,Audience,
Performance,perform,-,-,performance,Revenue,
Performance,performing,-,-,performance,Revenue,
Readers,readers,-,-,users,Audience,
Referral,referred,-,-,referred,Audience,
Referral,referrer,-,-,referrer,Audience,
Refund,refund,-,-,revenue,Revenue,
Registration,registration,-,-,registration,Conversion,
Retention,retention,-,-,retention,Loyalty,
Revenue,revenue,-,-,revenue,Revenue,
Revenue Recognition,revenue,recognition,-,revenue,Revenue,
Scroll Depth,scroll,depth,-,scroll depth,Behavior,
Segment,segment,-,-,segment,Audience,
Session Length,session,length,-,session length,Behavior,
Sessions,sessions,-,-,session length,Audience,
Sleepers,sleepers,-,-,sleeper,Audience,
Subscribers,subscribers,-,-,subscribers,Audience,
Term Views,term,views,-,exposure,Conversion,
Time on site,time,to,site,time on site,Audience,
Time between visits,time,between,visits,time between visits,Audience,
Time to conversion,time,to,conversion,time to conversion,Conversion,
Unique Users,unique,users,-,users,Audience,
Unique Users Exposed,unique,users,exposed,exposure,Conversion,
Users,users,-,-,users,Audience,
Viewers,viewers,-,-,users,Audience,
Views,views,-,-,views,Behavior,
Visit Frequency,visit,frequency,-,frequency,Behavior,
Visit Rythym,visit,rythym,-,rythym,Behavior,
Unique Users,visitors,-,-,users,Audience,
